,CustomerID,Age,MaritalStatus,EducationLevel,Occupation,IncomeLevel,Location,MonthlyAverageBalance,NumberOfTransactionsPerMonth,ExistingBankProducts,InvestmentHorizon
0,1.0,18.0,Single,Bachelor's,Student,2919.0,Rural,2919.0,12.0,Loan,Short-term
1,2.0,66.0,Married,High School,Retired,46672.0,Rural,46672.0,7.0,Credit Card,Mid-term
2,3.0,45.0,Married,Bachelor's,Salaried,186039.0,Rural,186039.0,13.0,FD,Long-term
3,4.0,56.0,Married,Bachelor's,Salaried,63927.0,Metro,63927.0,9.0,FD,Long-term
4,5.0,66.0,Married,High School,Retired,34509.0,SemiUrban,34509.0,7.0,FD,Long-term
5,6.0,49.0,Married,Bachelor's,Salaried,137523.0,Rural,137523.0,10.0,Loan,Long-term
6,7.0,26.0,Single,Master's,Salaried,58692.0,SemiUrban,58692.0,9.0,FD,Long-term
7,8.0,54.0,Married,Bachelor's,Self-Employed,107016.0,SemiUrban,107016.0,9.0,SIP,Mid-term
8,9.0,33.0,Married,Bachelor's,Salaried,151289.0,SemiUrban,151289.0,16.0,SIP,Long-term
9,10.0,54.0,Married,Bachelor's,Business,80074.0,Metro,80074.0,8.0,FD,Long-term
10,11.0,59.0,Married,High School,Salaried,81890.0,Metro,81890.0,5.0,FD,Long-term
11,12.0,63.0,Married,High School,Retired,51968.0,SemiUrban,51968.0,3.0,FD,Long-term
12,13.0,21.0,Single,Bachelor's,Student,2694.0,Rural,2694.0,9.0,FD,Long-term
13,14.0,58.0,Married,Bachelor's,Homemaker,49348.0,Rural,49348.0,7.0,FD,Long-term
14,15.0,61.0,Married,Bachelor's,Retired,38603.0,Rural,38603.0,7.0,FD,Long-term
15,16.0,62.0,Married,High School,Retired,48105.0,SemiUrban,48105.0,4.0,FD,Long-term
16,17.0,38.0,Married,Master's,Salaried,133210.0,Metro,133210.0,15.0,FD,Long-term
17,18.0,22.0,Single,Master's,Student,5751.0,SemiUrban,5751.0,8.0,FD,Long-term
18,19.0,60.0,Married,Bachelor's,Retired,56791.0,Rural,56791.0,4.0,FD,Long-term
19,20.0,60.0,Married,Bachelor's,Retired,54109.0,Metro,54109.0,7.0,FD,Long-term
20,21.0,45.0,Married,Bachelor's,Salaried,110818.0,SemiUrban,110818.0,8.0,Loan,Long-term
21,22.0,45.0,Single,Bachelor's,Salaried,142907.0,SemiUrban,142907.0,12.0,FD,Long-term
22,23.0,49.0,Married,Master's,Salaried,293640.0,Metro,293640.0,19.0,FD,Long-term
23,24.0,36.0,Married,PhD,Business,279693.0,SemiUrban,279693.0,15.0,SIP,Long-term
24,25.0,68.0,Married,Bachelor's,Retired,29733.0,SemiUrban,29733.0,7.0,FD,Long-term
25,26.0,69.0,Married,Bachelor's,Retired,53337.0,Metro,53337.0,7.0,Credit Card,Mid-term
26,27.0,41.0,Single,Bachelor's,Salaried,168940.0,Rural,168940.0,9.0,FD,Long-term
27,28.0,60.0,Married,Bachelor's,Retired,43092.0,Metro,43092.0,2.0,Credit Card,Mid-term
28,29.0,41.0,Married,High School,Salaried,191114.0,Rural,191114.0,14.0,Loan,Mid-term
29,30.0,53.0,Married,High School,Salaried,40584.0,SemiUrban,40584.0,2.0,FD,Long-term
30,31.0,58.0,Married,High School,Salaried,108031.0,Metro,108031.0,9.0,Credit Card,Mid-term
31,32.0,51.0,Married,High School,Business,76959.0,SemiUrban,76959.0,6.0,Credit Card,Mid-term
32,33.0,72.0,Married,High School,Retired,41918.0,Rural,41918.0,7.0,FD,Long-term
33,34.0,38.0,Married,Bachelor's,Salaried,228735.0,Rural,228735.0,14.0,Loan,Long-term
34,35.0,68.0,Married,Bachelor's,Retired,59194.0,SemiUrban,59194.0,7.0,FD,Long-term
35,36.0,44.0,Married,Master's,Salaried,288642.0,Rural,288642.0,15.0,FD,Long-term
36,37.0,46.0,Single,PhD,Salaried,135198.0,Rural,135198.0,14.0,Loan,Long-term
37,38.0,22.0,Single,Bachelor's,Student,4572.0,SemiUrban,4572.0,5.0,Loan,Long-term
38,39.0,30.0,Married,Master's,Business,174082.0,SemiUrban,174082.0,16.0,FD,Long-term
39,40.0,27.0,Single,Bachelor's,Homemaker,39734.0,Rural,39734.0,2.0,FD,Long-term
40,41.0,19.0,Single,Bachelor's,Student,6788.0,SemiUrban,6788.0,4.0,SIP,Short-term
41,42.0,45.0,Married,Master's,Business,168659.0,Rural,168659.0,15.0,SIP,Mid-term
42,43.0,60.0,Married,High School,Retired,34165.0,Metro,34165.0,7.0,SIP,Mid-term
